Institution,State,Website URL,Buyer/Seller for Private Institutions ,Percentage of Institutional Aid Without Respect to Financial Need (2022),"Percentage of Students That Chose to Enroll	
(2021)","Acceptance Rate	
(2021)",Applications (2021),Need-Based Institutional Scholarship (2022),Non-Need-Based Institutional Scholarship (2022),Total Institutional Aid 2022 (Calculation),Average Net Price (2021),"Average Net Price (Income $0-$30,000) 	 
","Average Net Price (Income $30,001-$48,000) 	 
","Average Net Price (Income $48,001-$75,000) 	 ","Average Net Price (income $75,001-$110,000) 	 ","Average Net Price (Income over $110,000) 	","Percent of UG Awarded Aid      

",Percent of First-Years Receiving Institutional Aid,Average Amount of Institutional Aid Awarded to First-Years,Public or Private,Retention Rate (2021),Four-year Graduation Rate,Six-year Graduation Rate,Admitted students,Enrolled students
Abilene Christian University,TX,www.acu.edu/,Buyer,54%,14%,70%,"8,208","$34,160,061","$39,302,496","$73,462,557","$29,734","$29,181","$26,212","$26,415","$28,762","$32,263",97,99,"$21,423",Private,79,53%,66%,"5,755",833
Adelphi University,NY,www.adelphi.edu/,Buyer,24%,11%,77%,"16,084","$89,145,332","$28,881,557","$118,026,889","$28,261","$24,830","$27,088","$30,121","$29,063","$31,769",90,90,"$23,739",Private,83,62%,72%,"12,459","1,330"
Agnes Scott College,GA,www.agnesscott.edu/,Buyer,26%,27%,70%,"1,625","$25,765,906","$9,286,286","$35,052,192","$13,420","$10,428","$10,983","$11,838","$15,634","$16,436",99,100,"$27,595",Private,84,68%,72%,"1,135",301
Albion College,MI,www.albion.edu/,Buyer,14%,10%,69%,"6,591","$58,996,166","$9,481,446","$68,477,612","$19,772","$15,291","$15,475","$15,916","$20,139","$27,569",99,100,"$40,273",Private,74,58%,68%,"4,566",468
Allegheny College,PA,https://allegheny.edu/,Buyer,29%,12%,75%,"4,667","$42,465,313","$16,981,363","$59,446,676","$25,419","$17,197","$18,688","$19,438","$26,352","$30,735",98,100,"$38,045",Private,83,68%,73%,"3,521",408
American University,DC,www.american.edu/,Buyer,28%,19%,64%,"19,650","$83,495,655","$32,060,144","$115,555,799","$28,622","$10,818","$11,743","$15,197","$21,773","$40,073",44,56,"$29,078",Private,90,74%,79%,"12,594","2,372"
Amherst College,MA,www.amherst.edu/,Seller,2%,42%,9%,"13,999","$71,627,414","$1,103,174","$72,730,588","$18,809","$4,625","$5,328","$7,077","$17,601","$45,564",64,60,"$57,022",Private,98,85%,95%,"1,224",515
Angelo State University,TX,www.angelo.edu/,,28%,52%,70%,"3,515","$39,236,098","$14,982,029","$54,218,127","$12,835","$9,710","$10,354","$13,420","$18,246","$20,313",59,77,"$2,727",Public,69,31%,43%,"2,463","1,286"
Appalachian State University,NC,www.appstate.edu/,,8%,23%,85%,"21,120","$56,588,161","$5,095,784","$61,683,945","$12,735","$7,194","$9,620","$14,087","$18,781","$19,448",48,51,"$3,299",Public,86,54%,73%,"17,886","4,099"
Arizona State University Campus Immersion,AZ,www.asu.edu/,,35%,26%,88%,"61,603","$385,042,038","$207,348,510","$592,390,548","$14,934","$8,920","$10,693","$15,308","$18,953","$20,904",84,86,"$10,241",Public,86,51%,66%,"54,329","14,250"
Arkansas Tech University,AR,www.atu.edu/,,65%,24%,94%,"6,218","$17,874,074","$33,475,353","$51,349,427","$11,097","$10,738","$11,363","$13,195","$14,377","$14,535",72,76,"$5,159",Public,63,27%,41%,"5,868","1,396"
Auburn University,AL,www.auburn.edu/,,59%,27%,71%,"27,619","$50,761,765","$72,625,266","$123,387,031","$23,873","$16,701","$19,313","$22,379","$24,989","$26,836",57,65,"$9,799",Public,93,51%,79%,"19,660","5,311"
Augustana College,IL,www.augustana.edu/,Buyer,31%,14%,69%,"6,640","$48,991,312","$21,756,914","$70,748,226","$24,472","$17,324","$17,957","$18,923","$24,390","$28,689",100,100,"$30,255",Private,85,73%,77%,"4,590",649
Aurora University,IL,https://aurora.edu/,Buyer,18%,31%,86%,"3,101","$51,347,770","$11,066,211","$62,413,981","$17,410","$12,902","$13,464","$16,168","$20,679","$22,192",94,99,"$13,155",Private,78,47%,58%,"2,680",822
Austin College,TX,www.austincollege.edu/,Buyer,33%,16%,43%,"4,130","$25,395,219","$12,426,930","$37,822,149","$24,398","$19,418","$19,614","$20,470","$25,058","$27,846",100,99,"$28,725",Private,76,66%,71%,"1,764",284
Austin Peay State University,TN,www.apsu.edu/,,54%,30%,93%,"5,053","$27,503,679","$31,784,895","$59,288,574","$14,529","$11,921","$13,230","$16,740","$18,782","$18,042",96,42,"$3,371",Public,63,28%,45%,"4,721","1,429"
Azusa Pacific University,CA,www.apu.edu/,Buyer,65%,17%,94%,"3,967","$28,853,602","$54,651,814","$83,505,416","$27,112","$20,622","$22,082","$24,581","$22,139","$32,463",89,98,"$22,524",Private,79,51%,66%,"3,733",636
Babson College,MA,www.babson.edu/,Seller,7%,36%,25%,"7,104","$47,944,426","$3,567,742","$51,512,168","$29,105","$18,034","$17,443","$19,414","$24,018","$49,318",52,47,"$42,854",Private,94,92%,95%,"1,801",650
Ball State University,IN,https://www.bsu.edu/,,60%,21%,68%,"22,947","$43,548,304","$64,213,708","$107,762,012","$12,968","$7,702","$9,925","$14,801","$19,090","$21,208",81,60,"$7,291",Public,73,54%,67%,"15,642","3,278"
Bard College,NY,www.bard.edu/,Seller,2%,15%,60%,"5,167","$65,399,182","$1,517,301","$66,916,483","$24,318","$15,443","$13,194","$23,241","$20,974","$37,369",64,78,"$49,109",Private,87,61%,74%,"3,096",473
Bates College,ME,www.bates.edu/,Seller,1%,44%,17%,"7,319","$35,938,699","$519,128","$36,457,827","$26,231","$4,735","$5,268","$9,925","$23,645","$40,663",40,36,"$48,211",Private,92,90%,92%,"1,267",553
Baylor University,TX,www.baylor.edu/,Buyer,38%,21%,57%,"36,588","$196,131,956","$118,834,473","$314,966,429","$46,039","$28,078","$28,517","$30,399","$34,353","$45,366",91,94,"$19,944",Private,88,64%,79%,"20,741","4,271"
Belmont University,TN,https://www.belmont.edu/,Mild Buyer,19%,22%,88%,"9,614","$83,586,643","$19,405,505","$102,992,148","$35,268","$19,332","$24,109","$26,446","$30,141","$40,966",79,87,"$19,212",Private,84,59%,71%,"8,468","1,834"
Beloit College,WI,www.beloit.edu/,Buyer,30%,13%,67%,"3,279","$28,165,749","$12,020,163","$40,185,912","$18,294","$12,503","$14,157","$15,096","$18,833","$24,066",94,99,"$42,728",Private,88,68%,78%,"2,206",290
Bennington College,VT,https://www.bennington.edu/,Buyer,36%,22%,67%,"1,726","$20,686,771","$11,437,373","$32,124,144","$35,569","$22,117","$16,878","$22,656","$27,793","$47,335",83,99,"$41,659",Private,84,61%,71%,"1,155",249
Bentley University,MA,www.bentley.edu/,Buyer,29%,18%,61%,"9,311","$59,511,249","$24,556,764","$84,068,013","$41,708","$23,462","$22,632","$27,960","$36,570","$48,783",75,76,"$28,154",Private,91,84%,90%,"5,674","1,019"
Binghamton University,NY,www.binghamton.edu/,,14%,18%,44%,"39,533","$63,917,524","$10,472,577","$74,390,101","$17,881","$10,766","$15,469","$20,354","$21,763","$25,327",58,53,"$4,319",Public,91,72%,82%,"17,455","3,089"
Birmingham-Southern College,AL,www.bsc.edu/,Buyer,81%,15%,66%,"2,461","$2,426,960","$10,174,116","$12,601,076","$22,888","$17,500","$17,302","$17,602","$21,925","$23,073",98,97,"$9,020",Private,78,65%,71%,"1,622",244
Boise State University,ID,https://www.boisestate.edu/,,6%,24%,83%,"15,648","$37,287,011","$2,563,359","$39,850,370","$15,828","$13,162","$14,298","$16,581","$19,695","$21,233",53,63,"$9,838",Public,76,29%,54%,"13,008","3,171"
Boston College,MA,www.bc.edu/,Seller,6%,33%,19%,"39,846","$158,888,551","$10,369,291","$169,257,842","$30,159","$12,320","$14,368","$12,780","$22,303","$52,580",46,39,"$46,470",Private,95,89%,92%,"7,587","2,516"
Boston University,MA,www.bu.edu/,Seller,7%,28%,19%,"75,778","$346,595,784","$26,928,822","$373,524,606","$25,852","$11,832","$8,835","$15,046","$23,922","$46,244",50,53,"$47,824",Private,94,84%,89%,"14,129","4,011"
Bowdoin College,ME,https://www.bowdoin.edu/,Seller,3%,63%,9%,"9,325","$51,830,539","$1,818,212","$53,648,751","$26,727","$4,531","$5,803","$10,270","$19,496","$43,454",56,54,"$43,418",Private,97,91%,95%,822,517
Bowie State University,MD,www.bowiestate.edu/,,4%,21%,87%,"4,978","$23,653,444","$890,704","$24,544,148","$14,290","$10,624","$12,673","$16,541","$19,478","$20,347",66,48,"$3,359",Public,72,17%,43%,"4,333",913
Bowling Green State University-Main Campus,OH,www.bgsu.edu/,,30%,19%,79%,"18,295","$56,875,539","$24,710,617","$81,586,156","$16,684","$10,684","$12,261","$15,865","$18,214","$19,429",77,91,"$5,674",Public,78,44%,61%,"14,404","2,760"
Bradley University,IL,www.bradley.edu/,Buyer,26%,14%,76%,"10,109","$64,458,348","$22,272,370","$86,730,718","$25,312","$17,583","$17,643","$21,725","$26,383","$30,568",97,100,"$20,657",Private,87,58%,74%,"7,669","1,043"
Brandeis University,MA,https://www.brandeis.edu/,Mild Buyer,15%,25%,39%,"9,796","$62,550,806","$11,168,516","$73,719,322","$35,147","$11,623","$12,733","$18,911","$27,016","$50,064",83,59,"$36,484",Private,91,82%,89%,"3,834",943
Bridgewater College,VA,https://www.bridgewater.edu/,Buyer,16%,16%,75%,"3,388","$38,720,926","$7,576,363","$46,297,289","$19,592","$15,242","$15,411","$17,458","$20,249","$22,458",99,100,"$28,026",Private,68,57%,63%,"2,544",398
Bridgewater State University,MA,www.bridgew.edu/,,19%,18%,86%,"8,881","$27,612,853","$6,651,990","$34,264,843","$12,744","$8,255","$9,920","$12,913","$15,063","$17,880",60,63,"$3,172",Public,79,36%,59%,"7,671","1,382"
Brigham Young University,UT,www.byu.edu/,Buyer ,56%,79%,59%,"11,608","$65,435,631","$81,657,377","$147,093,008","$13,432","$9,319","$10,087","$12,253","$15,569","$18,357",70,45,"$4,370",Private,89,21%,75%,"6,870","5,413"
Brown University,RI,www.brown.edu/,Seller,4%,66%,6%,"46,568","$170,581,905","$6,311,823","$176,893,728","$25,028","$4,849","$5,870","$8,446","$21,773","$43,008",48,45,"$54,314",Private,98,84%,95%,"2,568","1,705"
Bucknell University,PA,www.bucknell.edu/,Mild Buyer,9%,26%,35%,"11,263","$70,444,435","$7,000,000","$77,444,435","$38,170","$21,532","$17,072","$24,359","$29,865","$50,578",54,58,"$36,420",Private,91,84%,88%,"3,886","1,027"
Butler University,IN,www.butler.edu/,Buyer,45%,9%,81%,"15,340","$52,861,699","$42,741,717","$95,603,416","$38,643","$29,653","$25,796","$35,333","$38,217","$40,156",94,98,"$22,705",Private,87,73%,81%,"12,356","1,132"
California Baptist University,CA,www.calbaptist.edu/,Mild Buyer,10%,23%,64%,"9,474","$123,886,779","$14,240,358","$138,127,137","$23,494","$17,485","$18,585","$20,593","$22,423","$28,526",98,99,"$17,236",Private,79,41%,62%,"6,038","1,372"
California Institute of Technology,CA,www.caltech.edu/,Seller,1%,53%,4%,"13,026","$27,229,797","$268,638","$27,498,435","$30,162","$10,755","$1,371","$4,404","$18,206","$46,921",60,54,"$45,569",Private,99,86%,92%,510,270
California Polytechnic State University-San Luis Obispo,CA,calpoly.edu/,,14%,27%,33%,"54,570","$68,958,506","$11,579,544","$80,538,050","$20,708","$11,885","$12,855","$17,778","$22,753","$27,750",52,44,"$4,068",Public,95,53%,83%,"18,008","4,884"
California State Polytechnic University-Humboldt,CA,www.humboldt.edu/,,3%,10%,91%,"7,013","$37,498,453","$1,062,936","$38,561,389","$13,904","$9,695","$10,466","$15,111","$19,758","$22,583",70,59,"$5,811",Public,74,22%,49%,"6,414",629
California State Polytechnic University-Pomona,CA,www.cpp.edu/,,5%,14%,61%,"41,226","$151,421,393","$7,700,121","$159,121,514","$12,942","$8,327","$9,215","$12,831","$17,263","$20,591",70,48,"$5,302",Public,88,30%,67%,"24,993","3,463"
California State University-Bakersfield,CA,www.csub.edu/,,5%,11%,85%,"12,334","$57,504,278","$3,221,283","$60,725,561","$7,368","$4,682","$5,388","$8,140","$13,221","$16,439",80,66,"$5,853",Public,75,15%,46%,"10,510","1,165"
California State University-Chico,CA,www.csuchico.edu/,,2%,11%,85%,"19,990","$82,310,441","$1,313,392","$83,623,833","$13,749","$9,295","$10,320","$14,098","$18,339","$21,364",62,39,"$5,619",Public,81,29%,65%,"17,086","1,929"
California State University-Dominguez Hills,CA,https://www.csudh.edu/,,0%,14%,90%,"16,741","$79,978,870","$194,366","$80,173,236","$4,500","$2,603","$2,736","$5,782","$10,525","$13,171",79,72,"$5,386",Public,70,12%,48%,"14,999","2,048"
California State University-Long Beach,CA,www.csulb.edu/,,3%,15%,47%,"67,122","$52,182,900","$1,797,546","$53,980,446","$9,171","$5,399","$6,128","$9,317","$13,337","$17,475",72,44,"$5,730",Public,87,29%,73%,"31,448","4,865"
California State University-Monterey Bay,CA,https://csumb.edu/,,6%,8%,93%,"10,026","$32,795,030","$2,162,130","$34,957,160","$6,085","$1,510","$2,520","$5,641","$10,370","$13,968",69,46,"$5,603",Public,81,29%,60%,"9,305",779
California State University-Northridge,CA,https://www.csun.edu/,,7%,23%,88%,"23,656","$58,648,449","$4,496,545","$63,144,994","$8,708","$5,873","$6,756","$9,851","$14,421","$18,242",75,61,"$5,789",Public,82,15%,55%,"20,842","4,716"
California State University-Sacramento,CA,https://www.csus.edu/,,3%,17%,94%,"22,706","$55,552,888","$1,659,474","$57,212,362","$7,778","$3,878","$4,796","$8,026","$12,593","$16,240",70,54,"$5,743",Public,81,15%,54%,"21,272","3,581"
California State University-San Bernardino,CA,www.csusb.edu/,,11%,17%,91%,"13,057","$130,767,727","$16,893,597","$147,661,324","$3,254",$428,$901,"$3,851","$8,098","$12,041",80,65,"$5,473",Public,78,19%,59%,"11,878","2,001"
California State University-San Marcos,CA,www.csusm.edu/,,1%,18%,93%,"13,986","$81,455,670","$709,443","$82,165,113","$14,296","$10,788","$11,435","$15,100","$19,397","$22,843",64,48,"$5,466",Public,79,17%,57%,"13,049","2,413"
California State University-Stanislaus,CA,https://www.csustan.edu/,,1%,17%,95%,"5,740","$63,781,244","$604,612","$64,385,856","$7,230","$3,903","$4,296","$7,911","$12,119","$15,397",78,58,"$5,400",Public,79,19%,57%,"5,439",951
Carleton College,MN,https://www.carleton.edu/,Seller,3%,40%,18%,"7,915","$49,860,014","$1,554,531","$51,414,545","$31,718","$14,936","$15,081","$15,054","$25,038","$44,740",64,65,"$41,770",Private,95,88%,94%,"1,389",555
Carnegie Mellon University,PA,www.cmu.edu/,Seller,13%,43%,14%,"32,896","$118,302,807","$18,046,076","$136,348,883","$37,450","$14,879","$18,424","$22,758","$30,955","$54,338",51,49,"$37,442",Private,97,80%,93%,"4,453","1,896"
Carthage College,WI,www.carthage.edu/,Buyer,25%,12%,76%,"8,639","$32,972,650","$11,202,756","$44,175,406","$26,643","$21,735","$22,551","$26,193","$27,048","$28,963",96,97,"$16,534",Private,73,55%,62%,"6,539",763
Case Western Reserve University,OH,www.case.edu/,Buyer,41%,16%,30%,"33,232","$98,820,565","$68,665,784","$167,486,349","$38,166","$18,240","$20,149","$21,047","$30,752","$47,859",83,81,"$31,244",Private,94,67%,85%,"10,049","1,606"
Cedarville University,OH,https://www.cedarville.edu/,Buyer ,84%,30%,62%,"5,223","$10,992,114","$58,969,285","$69,961,399","$25,380","$17,544","$17,254","$19,713","$22,141","$27,212",88,100,"$17,451",Private,86,64%,74%,"3,251",972
Central Connecticut State University,CT,www2.ccsu.edu/,,15%,23%,75%,"6,285","$24,984,416","$4,246,024","$29,230,440","$14,425","$10,095","$10,941","$12,155","$14,895","$17,513",61,87,"$4,013",Public,72,27%,52%,"4,703","1,093"
Central Michigan University,MI,https://www.cmich.edu/,,30%,13%,77%,"18,517","$50,972,901","$21,600,877","$72,573,778","$16,880","$12,622","$13,127","$14,224","$17,623","$20,012",74,94,"$8,191",Public,77,33%,64%,"14,273","1,910"
Central Washington University,WA,www.cwu.edu/,,8%,14%,88%,"10,767","$1,105,318","$90,602","$1,195,920","$17,645","$11,804","$13,371","$17,824","$22,556","$23,895",68,59,"$3,368",Public,69,34%,58%,"9,523","1,371"
